kind,etag,id,contentDetails.videoId,contentDetails.videoPublishedAt,party,party_label
youtube#playlistItem,9L9zUrcb5tfEcbkjdYJbMfDMD2c,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LmlXTlFXay1kMzJN,iWNQWk-d32M,2022-01-31T13:32:57Z,cdu,CDU
youtube#playlistItem,KiBzaJJuoRtFVLmTplpHiDe8G-M,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjhhcUVWNVNhNGQ0,8aqEV5Sa4d4,2022-01-31T08:19:26Z,cdu,CDU
youtube#playlistItem,i717GA3dgkQjxueHymFervZPxGs,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlpUbDRUN0laVTUw,ZTl4T7IZU50,2022-01-25T17:54:27Z,cdu,CDU
youtube#playlistItem,_Vgf5A-OFtX1bKMTCcfiflfT094,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lk5BaGx6U0xHRGhZ,NAhlzSLGDhY,2022-01-25T12:15:00Z,cdu,CDU
youtube#playlistItem,Kj1hCFCCQqfjRuS2OyWyeJ-DCDo,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lks5QkxfZlo5cU5z,K9BL_fZ9qNs,2022-01-24T10:40:54Z,cdu,CDU
youtube#playlistItem,1aex07uIDwMMeMjBvq4Cj-z2KMw,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LmYySm5NT0JKVGFN,f2JnMOBJTaM,2022-01-24T10:33:25Z,cdu,CDU
youtube#playlistItem,9R2S1o6coXHamSLYFNiPh_KCh3Q,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LkFURXFVZ0g3MWVr,ATEqUgH71ek,2022-01-24T09:56:22Z,cdu,CDU
youtube#playlistItem,2i9fMSceZ7EvLAQnjcsUyMC5TS4,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnQ5b2VPbzA4ckdN,t9oeOo08rGM,2022-01-24T09:53:13Z,cdu,CDU
youtube#playlistItem,DPShfNjpYfJUXPq9mNPS9m7AdDc,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlliU2h6UEZfV1Zz,YbShzPF_WVs,2022-01-22T16:08:37Z,cdu,CDU
youtube#playlistItem,3iLMtHkjgV7gme-CR7UaFrjGZT8,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnRUMDJ4N2VVemE4,tT02x7eUza8,2022-01-22T15:10:30Z,cdu,CDU
youtube#playlistItem,PQc6Oxbijhf5s9FWLBoU7optKtI,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlctZnpwWndDX19J,W-fzpZwC__I,2022-01-22T15:02:56Z,cdu,CDU
youtube#playlistItem,WCMbDlBMBZZWBAZCp3g8IDBLFtA,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LmpReUxmTjRKQUF3,jQyLfN4JAAw,2022-01-22T15:02:19Z,cdu,CDU
youtube#playlistItem,drhz8vBJ_tuUJmlYmmrxw72loU8,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Ll9OVVJwLVpOVnlr,_NURp-ZNVyk,2022-01-22T14:38:31Z,cdu,CDU
youtube#playlistItem,f74F_2pDPyUDNXZY-oSuWOrhfJM,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LkhMUEw5MjB0RmxB,HLPL920tFlA,2022-01-22T13:46:34Z,cdu,CDU
youtube#playlistItem,FpVidBt1LAx6MhLP0amRIHpPbEg,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LmpJR29lMHNkajJB,jIGoe0sdj2A,2022-01-22T13:38:38Z,cdu,CDU
youtube#playlistItem,7ohaFWqfcjVmw5r1nitPjOS9CcU,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlM2c2pESlUxMnJz,S6sjDJU12rs,2022-01-22T13:12:05Z,cdu,CDU
youtube#playlistItem,QQFhHGvQ8TJOE3Ypp7UvYAqbUNE,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjFKZWtnQkVWWUpn,1JekgBEVYJg,2022-01-22T12:56:22Z,cdu,CDU
youtube#playlistItem,Ad33b1T12JJqIkJEY1qVk3RnUd0,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LmlaQktUbW43QjdB,iZBKTmn7B7A,2022-01-22T12:40:04Z,cdu,CDU
youtube#playlistItem,54H3jDro75C520cFe2ouFpHyEYk,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lk1OM3h1WVhQUkpv,MN3xuYXPRJo,2022-01-22T12:20:48Z,cdu,CDU
youtube#playlistItem,UDTBQk0-GcKfYKSAVK2wk-U5OxA,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LmFUdEpSZHJpVnB3,aTtJRdriVpw,2022-01-22T11:49:52Z,cdu,CDU
youtube#playlistItem,KfhXNOtlcTRwrvA3DuYIm8wl5so,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnBWSGRsUWx1amE0,pVHdlQluja4,2022-01-22T11:43:37Z,cdu,CDU
youtube#playlistItem,Na8G4wErAxzxOJJS9DZKzi4L3xk,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnlkZHVXeUNoV0hF,ydduWyChWHE,2022-01-22T11:32:14Z,cdu,CDU
youtube#playlistItem,pBfWwQ1fzblp27MAVHP2os_Zl_M,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LmxzUUJqcEhsNEFz,lsQBjpHl4As,2022-01-22T09:39:37Z,cdu,CDU
youtube#playlistItem,e82KRDMjs1ZKyZ8htI8Uf6zcwqk,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjU1QW55TFo4OUo4,55AnyLZ89J8,2022-01-21T16:47:29Z,cdu,CDU
youtube#playlistItem,NC3yIZ0uP81pSXPFwczfd1EcWjo,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjViQU9pY1JOZUxv,5bAOicRNeLo,2022-01-20T10:52:00Z,cdu,CDU
youtube#playlistItem,pO0-t6Cl9nR-1AE6C30m1Y9amFk,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjE5dzkzQWwxNERB,19w93Al14DA,2022-01-20T10:15:06Z,cdu,CDU
youtube#playlistItem,qmf6-z-jQynq91w0gNlm-aPLl9w,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnhvVFE1bXE3SXBJ,xoTQ5mq7IpI,2022-01-20T10:15:02Z,cdu,CDU
youtube#playlistItem,TJL23ryhZ5df_nFfjqt5-iGwliE,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlZqMGlhZFNPVUJB,Vj0iadSOUBA,2022-01-20T10:14:58Z,cdu,CDU
youtube#playlistItem,rT84H9UjISeQBpXbXgN7-nkc3M8,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lm93YzRfSnpRZFA0,owc4_JzQdP4,2022-01-20T10:14:55Z,cdu,CDU
youtube#playlistItem,TxzzmeO5i7m8kDbJBfbf6EDfxC0,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlBFRFZ3R0pKcEw0,PEDVwGJJpL4,2022-01-20T10:14:52Z,cdu,CDU
youtube#playlistItem,dVody0KYzfF3mq8lo6ic5ug-r50,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlR1X0E1cGNVR0dn,Tu_A5pcUGGg,2022-01-20T10:14:49Z,cdu,CDU
youtube#playlistItem,lHZAw-udY25-mVxfYhamxsSdxbU,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Llp2QUFrMTBGODNV,ZvAAk10F83U,2022-01-20T10:14:46Z,cdu,CDU
youtube#playlistItem,71uT4aHJeOG_tLwPWfoDwf95fvY,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnNZUkd0Mmg4U2x3,sYRGt2h8Slw,2022-01-20T10:14:41Z,cdu,CDU
youtube#playlistItem,NAfu0tRy3AWqafvo9VYlNQXpxzo,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LkJKVlktWF9jX2FR,BJVY-X_c_aQ,2022-01-20T10:13:54Z,cdu,CDU
youtube#playlistItem,kQcp6-Yk0_OCvS-cwWLuvc0R1V8,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjFpbHYzSzRTZk5r,1ilv3K4SfNk,2022-01-20T07:57:07Z,cdu,CDU
youtube#playlistItem,q2N11-okw7eSHiKeHMVF0L8F2ps,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjkzamprY2VWMl93,93jjkceV2_w,2022-01-19T16:54:01Z,cdu,CDU
youtube#playlistItem,cFhVC0d0PteTJzhCH1gwFVpOlK0,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjhId0xpdDZtUUFR,8HwLit6mQAQ,2022-01-19T11:12:08Z,cdu,CDU
youtube#playlistItem,mpnxQe4RQ7jD32CWeKnL3PsL0Z4,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lmlub0VjdFdjcEJr,inoEctWcpBk,2022-01-19T10:16:03Z,cdu,CDU
youtube#playlistItem,PHCEor8kHaeWosxPj_DJ8TwbaLY,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjZNWVZMZ19FMFY0,6MYVLg_E0V4,2022-01-19T10:15:51Z,cdu,CDU
youtube#playlistItem,H4zSnWEKa2mQcEGC5eBFg8YXfHc,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lm01YlV3X191Vndj,m5bUw__uVwc,2022-01-19T10:10:51Z,cdu,CDU
youtube#playlistItem,Kc2VCDh8RAiLo52gya30Yyb2lM8,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnF3eHduX2hMUjY0,qwxwn_hLR64,2022-01-19T10:10:35Z,cdu,CDU
youtube#playlistItem,Ycm0xb9rnYcWNdCaFeq2wtak4iU,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnJVSjE3ckJJMmtB,rUJ17rBI2kA,2022-01-19T10:10:19Z,cdu,CDU
youtube#playlistItem,AP3n-CCX78Uiw9RQkxnvb2cz8oc,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LjZLLWtmRUdDS3Br,6K-kfEGCKpk,2022-01-19T10:09:47Z,cdu,CDU
youtube#playlistItem,889t7fDYD0AAJJY7o0sa5YgESAw,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lkd3c3lXak0wbFZr,GwsyWjM0lVk,2022-01-19T10:09:31Z,cdu,CDU
youtube#playlistItem,hcfZRGyMOND4BjeFM_09pubVWRo,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lm1LdnBsOTh0VjdV,mKvpl98tV7U,2022-01-19T10:09:16Z,cdu,CDU
youtube#playlistItem,xZYrt6_fZelMD-CdDmC1MfcpX5g,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlZMREFTcmJKMXlv,VLDASrbJ1yo,2022-01-19T10:08:58Z,cdu,CDU
youtube#playlistItem,ooEAyWqmmZeHsbrCIjsD5KqQOXw,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlV4RGN5Q1FqMmZZ,UxDcyCQj2fY,2022-01-19T10:08:13Z,cdu,CDU
youtube#playlistItem,mB92Iytl5GQb6p7s45KBwV3mBZs,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53Lk1NS1ZrekMyWkR3,MMKVkzC2ZDw,2022-01-19T10:07:50Z,cdu,CDU
youtube#playlistItem,QGMzsBYw4Erhvrtg26wrZBmL0Lk,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlYyVW5Va2lwT2ZJ,V2UnUkipOfI,2022-01-19T10:07:33Z,cdu,CDU
youtube#playlistItem,kLUV4Kptz1lRjdNgkUtNajppUSQ,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LlUtWTJRLXJFNG44,U-Y2Q-rE4n8,2022-01-19T10:07:15Z,cdu,CDU
youtube#playlistItem,7XSWQh2WE0TnRH7zsUE0oBBUs0A,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LmNEY05sbVhVWlQw,cDcNlmXUZT0,2022-01-19T10:06:40Z,cdu,CDU
youtube#playlistItem,SEcjFILvdZXhXJyW1kGnOVkyk74,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LkwxVm9wZ2pOaTQ0,L1VopgjNi44,2022-01-19T10:06:17Z,cdu,CDU
youtube#playlistItem,c35XqwCTb86a7_E15bJH-JWbSnk,VVVLeVdJRXNlM3U3RXhLZkFXdURNVm53LnZLQTE4OFdvOHE4,vKA188Wo8q8,2022-01-19T10:01:52Z,cdu,CDU
